GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:core,hygieia.transformer,JunitXmlToTestCapabilityTransformerV2,320,0,46,0,95,0,30,0,5,0
com.capitalone.dashboard:core,hygieia.transformer,QualityVisiteeDeserializer,0,21,0,2,0,4,0,3,0,2
com.capitalone.dashboard:core,hygieia.transformer,MochaSpecToTestCapabilityTransformer,28,249,11,19,12,72,9,15,0,6
com.capitalone.dashboard:core,hygieia.transformer,HygieiaConstants,3,0,0,0,1,0,1,0,1,0
com.capitalone.dashboard:core,hygieia.transformer,CucumberJsonToTestCapabilityTransformer,203,387,50,22,60,96,35,13,1,7
com.capitalone.dashboard:core,hygieia.transformer,JunitXmlToTestCapabilityTransformer,53,255,20,18,22,71,19,7,0,5
com.capitalone.dashboard:core,hygieia.transformer,TestResultVisitor,17,161,4,4,14,38,11,6,7,5
com.capitalone.dashboard:core,com.capitalone.dashboard.auth,DefaultAuthenticationResponseService,53,0,2,0,12,0,5,0,4,0
com.capitalone.dashboard:core,com.capitalone.dashboard.auth,AuthenticationResultHandler,9,0,0,0,3,0,2,0,2,0
com.capitalone.dashboard:core,com.capitalone.dashboard.client,DefaultRestOperationsSupplier,24,0,0,0,5,0,2,0,2,0
com.capitalone.dashboard:core,com.capitalone.dashboard.client,RestClient,529,0,60,0,113,0,54,0,24,0
com.capitalone.dashboard:core,com.capitalone.dashboard.client,RestAuthType,24,0,0,0,3,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.client,RestUserInfo,57,0,0,0,19,0,9,0,9,0
com.capitalone.dashboard:core,com.capitalone.dashboard.response,RallyBurnDownResponse,53,0,0,0,14,0,10,0,10,0
com.capitalone.dashboard:core,com.capitalone.dashboard.response,CloudSubNetworkAggregatedResponse,3,0,0,0,1,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.response,CloudVolumeAggregatedResponse,45,0,0,0,19,0,13,0,13,0
com.capitalone.dashboard:core,com.capitalone.dashboard.response,BaseResponse,10,0,0,0,3,0,3,0,3,0
com.capitalone.dashboard:core,com.capitalone.dashboard.response,BuildDataCreateResponse,224,0,6,0,72,0,31,0,28,0
com.capitalone.dashboard:core,com.capitalone.dashboard.response,CloudVirtualNetworkAggregatedResponse,3,0,0,0,1,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,QualityScoreSettings.ViolationsScoreSettings,115,0,2,0,34,0,12,0,11,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,ScoreType,34,0,0,0,4,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,QualityScoreSettings,90,0,2,0,25,0,10,0,9,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,ScoreCriteriaSettings,109,0,0,0,27,0,18,0,18,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,QDeployScoreSettings,20,74,2,2,4,14,4,4,2,4
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,ScmScoreSettings,75,0,2,0,21,0,8,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,ScoreCriteria,98,0,6,0,28,0,12,0,9,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,BuildScoreSettings.BuildDurationScoreSettings,58,0,2,0,16,0,6,0,5,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,QQualityScoreSettings,20,80,2,2,4,15,4,4,2,4
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,ScoreComponentSettings,93,0,8,0,28,0,14,0,10,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,QComponentAlert,19,41,0,0,2,7,1,3,1,3
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,QBuildScoreSettings,19,73,1,1,4,15,3,4,2,4
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,ScoreTypeValue,128,0,10,0,32,0,18,0,13,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,ScoreThresholdSettings,108,0,2,0,29,0,14,0,13,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,ScoreThresholdSettings.ValueType,24,0,0,0,3,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,ComponentAlert,56,0,2,0,15,0,8,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,QScoreComponentSettings,0,75,0,0,0,10,0,4,0,4
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,DeployScoreSettings,73,0,2,0,20,0,8,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,ScoreThresholdSettings.ComparatorType,54,0,0,0,6,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,BuildScoreSettings,92,0,2,0,25,0,10,0,9,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,QScmScoreSettings,19,67,1,1,4,14,3,4,2,4
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,PropagateType,48,0,0,0,8,0,3,0,3,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.score.settings,QScoreCriteriaSettings,29,139,5,5,6,18,8,3,3,3
com.capitalone.dashboard:core,com.capitalone.dashboard.misc,HygieiaException,41,0,0,0,12,0,5,0,5,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.webhook.github,GitHubRepo,104,0,10,0,21,0,18,0,13,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.webhook.github,MergeEvent,99,0,10,0,26,0,20,0,15,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.webhook.github,GitHubParsed,80,97,3,3,9,20,7,4,4,4
com.capitalone.dashboard:core,com.capitalone.dashboard.model.webhook.github,QGitHubRepo,24,134,0,0,6,28,3,3,3,3
com.capitalone.dashboard:core,org.bson.types,QObjectId,49,101,0,0,2,12,1,3,1,3
com.capitalone.dashboard:core,com.capitalone.dashboard.model.relation,QRelatedCollectorItem,26,86,2,2,6,15,5,3,3,3
com.capitalone.dashboard:core,com.capitalone.dashboard.model.relation,RelatedCollectorItem,3,35,0,0,1,15,1,10,1,10
com.capitalone.dashboard:core,com.capitalone.dashboard.repository,CollectorItemRepository,36,59,1,1,4,8,2,3,1,3
com.capitalone.dashboard:core,com.capitalone.dashboard.repository,BinaryArtifactRepositoryImpl,47,3,4,0,9,1,3,1,1,1
com.capitalone.dashboard:core,com.capitalone.dashboard.repository,RelatedCollectorItemRepository,0,35,0,2,0,10,0,2,0,1
com.capitalone.dashboard:core,com.capitalone.dashboard.repository,FeatureRepositoryImpl,122,91,31,9,24,18,21,3,2,2
com.capitalone.dashboard:core,com.capitalone.dashboard.repository,AutoDiscoveryRepositoryImpl,90,6,0,0,13,3,1,1,1,1
com.capitalone.dashboard:core,com.capitalone.dashboard.repository,CustomRepositoryQueryImpl,259,0,14,0,35,0,18,0,11,0
com.capitalone.dashboard:core,com.capitalone.dashboard.repository,ComponentRepository,0,32,0,0,0,4,0,1,0,1
com.capitalone.dashboard:core,com.capitalone.dashboard.service,CollectorServiceImpl.ToCollectorId,3,0,0,0,1,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.service,CollectorServiceImpl,934,0,86,0,185,0,72,0,29,0
com.capitalone.dashboard:core,com.capitalone.dashboard.service,BuildCommonServiceImpl,17,0,0,0,5,0,3,0,3,0
com.capitalone.dashboard:core,com.capitalone.dashboard.service,ApiTokenServiceImpl,267,0,28,0,61,0,26,0,12,0
com.capitalone.dashboard:core,com.capitalone.dashboard.service,CollectorServiceImpl.ToCollectorSearchFields,3,0,0,0,1,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.testutil,TestRestTemplate,76,0,8,0,18,0,10,0,6,0
com.capitalone.dashboard:core,com.capitalone.dashboard.testutil,GsonUtil,32,23,1,1,3,6,3,3,2,3
com.capitalone.dashboard:core,com.capitalone.dashboard.testutil,TestRestOperations,69,6,8,0,17,3,10,1,6,1
com.capitalone.dashboard:core,com.capitalone.dashboard.testutil,TestResponse,23,0,0,0,10,0,5,0,5,0
com.capitalone.dashboard:core,com.capitalone.dashboard.testutil,FongoConfig,0,12,0,0,0,3,0,3,0,3
com.capitalone.dashboard:core,com.capitalone.dashboard.testutil,BaseCollectorTestConfig,0,16,0,0,0,4,0,3,0,3
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,CucumberJsonReport.Match,6,0,0,0,2,0,2,0,2,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReport.Testcase.Error,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,CucumberJsonReport,4,9,0,0,2,4,1,2,1,2
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,FindBugsXmlReport,14,0,0,0,6,0,4,0,4,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReportV2.TestSuite.Testcase,45,0,0,0,19,0,13,0,13,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,CheckstyleReport,14,0,0,0,6,0,4,0,4,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,FindBugsXmlReport.BugInstance,38,0,0,0,16,0,11,0,11,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,PmdReport,14,0,0,0,6,0,4,0,4,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,FindBugsXmlReport.BugPriority,44,0,0,0,2,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReportV2,18,0,2,0,6,0,4,0,3,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,MochaJsSpecReport.Stats,18,3,0,0,6,1,6,1,6,1
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JacocoXmlReport.Counter,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,CucumberJsonReport.Step,0,15,0,0,0,5,0,5,0,5
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,CucumberJsonReport.Result,0,9,0,0,0,3,0,3,0,3
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,CheckstyleReport.CheckstyleError,10,0,0,0,4,0,3,0,3,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReportV2.TestSuite.Testcase.Failure,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReportV2.TestSuite.Testcase.Error,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReportV2.TestSuite,98,0,2,0,40,0,27,0,26,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,FindBugsXmlReport.BugCategory,24,0,0,0,2,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReport.Testcase.Failure,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,CucumberJsonReport.Feature,0,15,0,0,0,5,0,5,0,5
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,CheckstyleReport.CheckstyleSeverity,44,0,0,0,2,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReportV2.TestSuite.Properties.Property,17,0,0,0,7,0,5,0,5,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReport.Testcase,30,15,0,0,14,5,8,5,8,5
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReport.Properties,11,3,2,0,3,1,2,1,1,1
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReport,90,12,1,1,38,4,25,3,24,3
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,MochaJsSpecReport.Suite,0,9,0,0,0,3,0,3,0,3
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,FindBugsXmlReport.BugFile,10,0,0,0,4,0,3,0,3,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,PmdReport.PmdFile,10,0,0,0,4,0,3,0,3,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,CheckstyleReport.CheckstyleFile,10,0,0,0,4,0,3,0,3,0
